term,definition,lang,source
asynchronous gameplay,"Cooperative or competitive multiplayer games in which each player will have a different experience arising from differences in gameplay, controls, or in-game character options that are part of the game. This is in contrast to symmetric gameplay where each player will have the same experience, such as in the game Pong . Asymmetric gameplay often arises in competitive games where one player's character is far overpowered but outnumbered by other players that are all competing against them, such as in Pac-Man Vs. Asymmetric gameplay can also arise in multiplayer online battle arenas (MOBAs) and hero shooters , where each player selects a different hero or character class with different gameplay abilities from others. [ 19 ]",en,wikipedia_glossary
attract mode,"Competitive multiplayer games where the players do not have to be participating at the same time. Such games are usually turn-based, with each player planning a strategy for the upcoming turn, and then having the game resolve all actions of that turn once each player has submitted their strategies.",en,wikipedia_glossary
augmented reality (AR),"An AUG is an abbreviated nickname for a long-scoped Burst Rifle, especially in Fortnite , as well as other shooter games. An AUG is a real gun, and the real inspiration for in-game Burst Rifles.",en,wikipedia_glossary
auto battler,"Supplementing a real-world environment with computer-generated perceptual information with matching alignment to the real world, which may add to or mask the physical environment. Augmented reality alters the perception of a physical environment, whereas virtual reality replaces the physical environment with a simulated one.",en,wikipedia_glossary
auto-aim,"Also known as ""auto chess"", a subgenre of strategy games that feature chess -like elements where players place characters on a grid-shaped battlefield during a preparation phase, who then fight the opposing team's characters without any further direct input from the player. It was created and popularized by Dota Auto Chess in early 2019.",en,wikipedia_glossary
auto-run,"Also aim-assist . A game mechanic built into some games to decrease the level of difficulty by locking onto or near targets for faster aiming. Games utilize ""hard"" or ""soft"" aim settings to respectively either lock directly onto an enemy or assist the player's aim towards the enemy while giving some freedom of precision. Not to be confused with aimbot .",en,wikipedia_glossary
autosave,"A system in video games that causes the player-character to move forward without input from the user. The system is predominantly used in platform games , as well as being a toggleable feature in some open world and MMO games where users may need to travel long distances without the assistance of fast travel systems.",en,wikipedia_glossary
avatar,"A saving function in many video games that saves the current progress without the player's input, often after completing a mission, level, or winning a match. These points are called save points .",en,wikipedia_glossary
B-hopping,"Also bunny hopping . Repeated use of the jump button while moving, which increases the character's momentum in some games. Originally a glitch in Quake engine games, a large portion of games have implemented it as a feature and gamers have taken into doing this.",en,wikipedia_glossary
backfill,Also backfilling . A system of many competitive team-based multiplayer games that automatically finds a new player based on their skill level in an already existing game in case of one player leaving it. Usually only seen in casual modes to keep competitive integrity in ranked games.,en,wikipedia_glossary
badge,"Also achievement . An indicator of accomplishment or skill, showing that the player has performed some particular action within the game.",en,wikipedia_glossary
balance,"Aspects of a multi-player game that keep it fair for all players. This usually refers to balance between characters (or any other choices made before battle) and options (which occur in battle). Balance between choices made before battle usually means that no character is likely to dominate another opponent, while balance between options usually refers to every option having a viable counter, preventing gameplay from degenerating to using a single option with minor variations. The issue of balanced gameplay is a heavily debated matter among most games' player communities.",en,wikipedia_glossary
banner,"What players usually call the gacha mechanic in a game. Depending on the game, it can stick around indefinitely or have a time limit. The latter kind most often increases the probability of getting specific characters or items. [ 22 ]",en,wikipedia_glossary
battle pass,"A type of in-game monetization that provides additional content for a game through a tiered system, rewarding the player with in-game items by playing the game and completing specific challenges.",en,wikipedia_glossary
battle royale game,A video game genre that blends elements of survival games with last-man-standing gameplay. Players search for equipment while eliminating competitors in a shrinking safe zone. Usually there are many more players involved than in other kinds of multi-player games.,en,wikipedia_glossary
best-in-slot,"Any item or ability that can be considered the best possible option in a given slot. This can vary between players and playstyles, but commonly, any specific playstyle is likely to have either a single or a small set of items considered to be the best. This may be due to favorable effects, good match-ups against most opponents, or high stats. Typically abbreviated as BiS.",en,wikipedia_glossary
beta release,"Also beta testing . An early release of a video game, following its alpha release , where the game developer seeks feedback from players and testers to remove bugs prior to the product's commercial release. Games are usually almost finished at the beta stage. [ 23 ] See also closed beta and open beta .",en,wikipedia_glossary
blacklist,"In online games, a list of player information (such as player ID or IP address) that the server checks for when admitting a player. By default, players are allowed to enter, but if they match information on the blacklist, they are barred from entry. The opposite is a whitelist , where the server bars players by default but allows players matching the whitelist. Blacklists and whitelists can be used in tandem, barring even whitelisted players if they try to log in via a blacklisted IP address, for example.",en,wikipedia_glossary
board,See level .,en,wikipedia_glossary
boomer shooter,"A first-person shooter designed to resemble older games in the genre such as Doom and Quake . The name is derived from the baby boomer generation, often shortened to simply boomer , which in turn is used to describe things that are old in general.",en,wikipedia_glossary
booster pack,A random assortment of cards in digital collectible card games that players can buy or earn to add to their deck. See also lootbox .,en,wikipedia_glossary
boosting,"In online multiplayer games that include ranked competitive play, boosting is where a player with a low-ranked level has a more-skilled player use their account to improve the low-ranked character to higher levels, or other improvements and benefits for their account. [ 25 ] [ 26 ]",en,wikipedia_glossary
bonus stage,"A special level in which the player has a chance to earn extra points or power-ups , often in the form of a mini-game . Compare with secret level .",en,wikipedia_glossary
borderless fullscreen windowed,"An option featured in many modern PC games and moddable into others in which a game appears fullscreen but is actually running in a maximized window. Since the game does not take full control of the output device, it confers benefits such as seamless task switching and automatic vertical synchronization .",en,wikipedia_glossary
bottomless pit,"A hazard common in platform and action games, which consists of a deep hole or void with no visible bottom, presumably leading to a fatal drop. The player-character falling into this void typically results in an instant death (and the loss of a life ) for the player, regardless of how much health the character had; although some games may instead take away a percentage of the character's health before respawning them nearby. Bottomless pits can also serve as obstacles that can be overcome by using abilities or finding alternate routes.",en,wikipedia_glossary
Buildcrafting,"2.  A change intended to strengthen a particular item, tactic, ability, or character, ostensibly for balancing purposes. Compare to nerf .",en,wikipedia_glossary
build order,"The ability in games to define the player-characters abilities by selecting appropriate gear, equipment, and accessories to optimize and maximize the character's performance in the game. The end results, known as builds, then are frequently shared to other players through various means.",en,wikipedia_glossary
bullet hell,"Also build-order . An optimal sequence of player actions in a building-based strategy game, dictating what option should be constructed in what order.",en,wikipedia_glossary
bullet sponge,A type of shoot 'em up where the player must generally dodge an overwhelmingly large number of enemies and their projectiles.,en,wikipedia_glossary
bullshot,"Any enemy that appears to require more firepower than would be considered realistic or reasonable to defeat. This is an allusion to how the enemy can absorb bullets much like a sponge absorbs liquids. For example, an enemy soldier in a first-person shooter that requires several full magazines of ammunition to defeat, in comparison to other soldier types that are defeated in a handful of shots, would be a bullet sponge.",en,wikipedia_glossary
button mashing,"A portmanteau of bullshit and screenshot , referring to the misrepresentation of a final product's technical or artistic quality by artificially enhancing promotional images or video footage. [ 27 ]",en,wikipedia_glossary
breach,"1.  The pressing of different button combinations in rapid succession to perform or attempt to perform special moves, typically with little rhyme or reason. This technique is most often encountered in fighting games , especially among weaker players. [ 28 ]",en,wikipedia_glossary
campaign mode,"Also story mode and campaign . A series of game levels intended to tell a linear story; some campaigns feature multiple 'paths', with the player's actions deciding which path the story will follow and affecting which choices are available to the player at a later point.",en,wikipedia_glossary
camping,"1.  Where a player stays in one place – typically a fortified high-traffic location – for an extended period of time and waits to ambush other players. Many players consider camping a form of cheating or, at best, griefing. [ 29 ] It is most common in first-person shooter games, [ 30 ] but is also frequent in fighting games with projectile-heavy characters.",en,wikipedia_glossary
capture the flag (CTF),"2.  The act of waiting around a rare mob or player's spawn point , usually in MMOs . This may be known as spawn-camping or spawn-trapping.",en,wikipedia_glossary
carry,"A common game mode in multiplayer video games, where the goal is to capture and retrieve a flag from the opposing side's territory while defending the flag in one's own territory.",en,wikipedia_glossary
cartridge tilting,"In team-based video games, when a player disproportionately contributes to the success of their team. For example, Team A's sole remaining player defeating the rest of Team B, thus saving Team A from a close defeat, would be considered carrying, as would one player on Team A having the most kills among the rest of their team. The term is usually but not always interpreted as indirect slander towards the rest of the team, though the term may also be used generally. Carrying may also be a method experienced players use to win rounds when the rest of their team are less experienced or less efficient at completing tasks; this may entail taking on enemy combatants alone, or using teammates as a distraction while completing objectives for the round.",en,wikipedia_glossary
casual gaming,"Deliberately inducing glitches and other strange behaviour in cartridge-based games by tilting the cartridge slightly in its slot in the console, enough for the connection to be altered but not completely severed. Cartridge tilting creates similar effects to using a corruptor , and may include such glitches as character models becoming distorted, extremely loud noises and in particularly severe cases, both the game and the console itself may crash.",en,wikipedia_glossary
challenge mode,"Playing video games on an infrequent and spontaneous basis without a long-term commitment. Casual video games are distinguished by a low learning curve and ease of access, often web-based for mobile phones or personal computers. Most casual games have simplified controls, with one or two buttons dominating play. Casual games can normally be played in small periods of time, and may not have a save feature. [ 31 ]",en,wikipedia_glossary
character,"A game mode offered beyond the game's normal play mode that tasks the player(s) to replay parts of the game or special levels under specific conditions that are not normally present or required in the main game, such as finishing a level within a specific time, or using only one type of weapon. If a game doesn't feature a 'challenge mode', players will often create self-imposed challenges by forbidding or restricting the use of certain game mechanics.",en,wikipedia_glossary
character class,See player-character and non-player character,en,wikipedia_glossary
character creator,"A job or profession that comes with a set of abilities as well as positive and negative attributes. [ 32 ] Most common in role-playing games , a character's class helps to define their playstyle as well as the role the character plays in a team based game. Often as players gain experience with a class they learn new abilities related to their chosen profession and some games allow players to change their character's class or become proficient in multiple classes. Some examples of archetypal character classes include warrior (strength and defense), thief (speed and stealth), wizard (magic and intelligence), and priest or healer (healing and buffing allies). [ 33 ] [ 34 ] A popular example of a class-changing system is the Job System in the Final Fantasy series.",en,wikipedia_glossary
character select screen,"An ingame method to customize a character to the player's preferred appearance and abilities before starting the game, most commonly used in role-playing games.",en,wikipedia_glossary
charge shot,"A concept in games with multiple characters, a screen with names or pictures of all playable (and secret ) characters with the possibility of stat listings.",en,wikipedia_glossary
cheat,"A shot that can be charged up so that a stronger attack can be dealt, but requiring more time. Usually performed by holding the shot button.",en,wikipedia_glossary
cheating,"A game code that allows the player to beat the game or acquire benefits without earning them. Cheats are used by designers to test the game during development and are often left in the release version. [ 15 ] See god mode , aimbot , ESP cheats , noclip mode , wallhack , and Konami Code .",en,wikipedia_glossary
checkpoint,To play the game unfairly; giving an unfair advantage via illegitimate means.,en,wikipedia_glossary
cheese (or cheesing),"An area in a level from which the player will start the level from next time they die, rather than having to start the level over. Checkpoints typically remain in place until the player completes the level or gets a Game Over .",en,wikipedia_glossary
cheevo,"Cheese(ing) refers to a tactic in a video game that may be considered cheap, unfair, or overly easy, requiring no skill by others as to otherwise complete a difficult task. What may account as cheese depends on the type of game. Its origin traces back to players of Street Fighter II who would frequently use the same combo move over and over against to defeat their opponent. In multiplayer games like MOBAs or hero shooters , certain team compositions of heroes are considered cheese compositions for how easily they can defeat most other team compositions. In other games, cheese can refer to exploiting glitches and other bugs to make difficult gameplay sections easy. [ 35 ]",en,wikipedia_glossary
chiptune,See achievement .,en,wikipedia_glossary
choke,"Music composed for the microchip-based audio hardware of early home computers and gaming consoles. Due to the technical limitations of earlier video game hardware, chiptune came to define a style of its own, known for its ""soaring flutelike melodies, buzzing square wave bass, rapid arpeggios, and noisy gated percussion"". [ 36 ]",en,wikipedia_glossary
cinematic,1.  When a player/team that is currently winning or expected to win a match performs unexpectedly poorly. [ 24 ],en,wikipedia_glossary
circle strafing,2.  A feature of a playable map that funnels players and might restrict mechanics like movement (chokepoint).,en,wikipedia_glossary
clapped,See cutscene .,en,wikipedia_glossary
clicker game,"Slang term for murdered, particularly in a 'clean' or belittling way, such as by a trickshot or a knife kill.",en,wikipedia_glossary
clipping,Also guild An organized group of players who regularly play multiplayer video games.,en,wikipedia_glossary
clock/clocked,A type of game where clicking (or tapping) the screen repeatedly is the only gameplay mechanic. See also idle game .,en,wikipedia_glossary
clone,"1.  Programming used to ensure that the player stays within the physical boundaries of the game world . [ 13 ] : 119 Also see noclip , a cheat where clipping is disabled.",en,wikipedia_glossary
closed beta,"2.  A 3D graphics process which determines if an object is visible and ""clips"" any obscured parts before drawing it. See also clipping (computer graphics) .",en,wikipedia_glossary
cloud gaming,"To achieve a score so high it resets the in-game score counter back to 0, often used in older arcade games. More commonly used nowadays to express the (absolute) 100% completion of a game. Also see rolling the score .",en,wikipedia_glossary
cloud save,"A game that is similar in design to another game in its genre (e.g., a Doom clone or a Grand Theft Auto clone ). Sometimes used in a derogatory fashion to refer to an inferior 'ripoff' of a more successful title.",en,wikipedia_glossary
clutch,A beta testing period where only specific people have access to the game.,en,wikipedia_glossary
coin-op,"The player's saved game is stored at a remote server. This may provide a backup, or enable access from a different game system. See also cross-save .",en,wikipedia_glossary
collectible,"Also clutching the game and coming in clutch . Being able to perform exceptionally well in a high-stakes situation, or have certain events occur at the right time in a very important or critical moment, in particular in a way that changes the outcome of the game; scoring a victory for your team when it was on the verge of defeat. [ 37 ]",en,wikipedia_glossary
collision detection,See also construction and management simulation .,en,wikipedia_glossary
combo,See also arcade game .,en,wikipedia_glossary
competitive gaming,"An item that can be collected by a player, which may or may not confer a positive benefit, such as increasing their character's maximum health .  Typically found in games with a campaign mode , collectibles may increase such game's replay value by placing collectibles in areas that are hidden or can only be accessed with special abilities, encouraging the player to inquisitively comb through and revisit level s to find them all, as part of 100% completion.",en,wikipedia_glossary
completionist,The computational task of detecting the intersection of two or more game objects.,en,wikipedia_glossary
compulsion loop,"A series of attacks strung together in quick succession, typically while an opponent is in their ""getting hit"" animation from the previous attack and is helpless to defend themselves. Combos are a staple of fighting games , introduced in beat-'em-ups such as Renegade and Double Dragon , and becoming more dynamic in Final Fight and Street Fighter II . [ 38 ]",en,wikipedia_glossary
console,See electronic sports .,en,wikipedia_glossary
console generations,A particular kind of video game player who focuses on achieving 100% completion in the games they play.,en,wikipedia_glossary
console wars,"A cycle of gameplay elements designed to keep the player invested in the game, typically through a feedback system involving in-game rewards that open up more gameplay opportunities.",en,wikipedia_glossary
construction and management simulation (CMS),"A video game hardware unit that typically connects to a video screen and controllers, along with other hardware. Unlike personal computers, a console typically has a fixed hardware configuration defined by its manufacturer and cannot be customized. Sometimes includes handheld consoles , to differentiate them from computers, arcade machines, and cell phones.",en,wikipedia_glossary
content rating,"See also: Home video game console generations A set of video game consoles in direct competition for market share in a given era. The set, as a generation, is obsoleted at the introduction of the ""next generation"" or ""next gen"". [ 39 ] [ 40 ]",en,wikipedia_glossary
continue,"Main article: Console war Refers to competition for video game console market dominance and, in specific, to the rivalry between Sega and Nintendo throughout most of the 1980s and 1990s. The analogy also extends to competition in later console generations , particularly the PlayStation and Xbox brands. [ 41 ]",en,wikipedia_glossary
control pad,"A video game genre that involves planning and managing a population of citizens in towns, cities, or other population centers. In such games, the player rarely has direct control of the computer-controlled citizens and can only influence them through planning.",en,wikipedia_glossary
control point (CP),"Classifying video games according to suitability-related factors such as violent or sexual content contained within a game. Some countries use industry self-regulation models to accomplish this, while others have government rating boards. Certain content ratings result in products being legally or de facto banned from sale, such as the AO (adults only) rating in the United States. While legal, such titles are not stocked by retailers and will not be certified for release by major console makers such as Sony and Microsoft.",en,wikipedia_glossary
controller,See D-pad .,en,wikipedia_glossary
conversation tree,"A game mode which involves the team capturing each required ""capture point"" in order to win the round or level.",en,wikipedia_glossary
conversion kit,See analog stick .,en,wikipedia_glossary
cooldown,"A means of control over the console or computer on which the game is played. Specialized game controllers include the joystick , light gun , paddle , and trackball .",en,wikipedia_glossary
co-op,See dialog tree .,en,wikipedia_glossary
cooperative gameplay (co-op),"Special equipment that can be installed into an arcade machine that changes the current game it plays into another one.  For example, a conversion kit can be used to reconfigure an arcade machine designed to play one game so that it would play its sequel or update instead, such as from Star Wars to The Empire Strikes Back , or from Street Fighter II: Champion Edition to Street Fighter II Turbo .",en,wikipedia_glossary
corruptor,The minimum length of time that the player needs to wait after using an ability before they can use it again.  This is commonly done for game balance so less powerful abilities remain relevant. [ 45 ],en,wikipedia_glossary
couch co-op,See cooperative gameplay .,en,wikipedia_glossary
cover system,Multiplayer gameplay where the players work together on the same team against computer-controlled opponents or challenges. [ 15 ],en,wikipedia_glossary
CPU versus CPU,"A game mechanic which allows the player to use walls or other features of the game's environment to take cover from oncoming ranged attacks, such as gunfire in first-person shooters . Many cover systems also allow the character to use ranged attacks in return while in cover although with an accuracy penalty. [ 46 ]",en,wikipedia_glossary
cracked,"A game mechanic that grants players the ability to jump for a brief period of time (typically just a few frames or fractions of a second) after leaving solid ground. Used predominantly in platform game s, the mechanic is designed to give players the impression of having jumped at the last possible moment, and as a method of forgiving players that would have otherwise missed the jump. The mechanic derives its name from the Looney Tunes character Wile E. Coyote who, upon leaving solid ground (e.g. by running off a cliff), briefly hangs in mid-air before plummeting to the earth below. [ 47 ] [ 48 ]",en,wikipedia_glossary
crafting,1. Central processing unit ; the part of the computer or video game which executes the games' program.,en,wikipedia_glossary
cranking 90s,2.  A personal computer.,en,wikipedia_glossary
credit-feeding,"3.  A non-player character controlled by the game software using artificial intelligence , usually serving as an opponent to the player or players.",en,wikipedia_glossary
critical hit,See zero-player game .,en,wikipedia_glossary
cross-buy,1.  Software that has had its anti- piracy protections removed prior to being illegally distributed. See: Software cracking,en,wikipedia_glossary
cross-generation,2.  Being extremely good at something.,en,wikipedia_glossary
cross-platform,"A game mechanic that allows the player-character to construct game items, such as armor, weapons or medicine from combinations of other items.  Most MMOGs feature a crafting system.",en,wikipedia_glossary
cross-platform play,"Commonly used in Fortnite , cranking 90s refers of a way to build in the game. ""90s"" refers to the 90-degree turn one must make when they make a 90, [ 49 ] and ""cranking"" refers to how one must perform this repeatedly. ""Cranking"" 90s usually results in a tower being created.",en,wikipedia_glossary
cross-progression,"To complete an arcade game by using as many continues as possible. Prevalent in action games or shooters where the player is revived at the exact moment their character died during their previous credit. Some home conversions (such as AES versions of Neo Geo games) tend to limit the number of credits each player is allowed to use in a playthrough as a way of preserving the challenge, while other conversions (such as the ports in the Namco Museum series) impose no such limits in order to reproduce the original version as faithfully as possible. Compare with 1CC .",en,wikipedia_glossary
cross-save,"Also crit . A type of strike that does more damage than usual. Normally a rare occurrence, this may indicate a special attack or a hit on the target's weak point.",en,wikipedia_glossary
Crowd control,Ownership of a game on multiple platforms granted through a single purchase.,en,wikipedia_glossary
crunch,See multiplatform .,en,wikipedia_glossary
cut-in,"Similar to cross-save, when multi-platform games may share the player's current account details, including earned and purchased items, via a server.",en,wikipedia_glossary
cutscene,Multi-platform games may share the player's current state via a server.,en,wikipedia_glossary
cybersport,A technique used primarily in massively multiplayer online games to limit or control how many enemies are hostile to the players so they can be picked off more easily. [ 50 ] Also see aggro .,en,wikipedia_glossary
D-pad,"Also control pad and directional pad . A 4-directional rocker button that allows the player to direct game action in eight different directions: up, down, left, right, and their diagonals. Invented by Gunpei Yokoi for the Game & Watch series of handheld consoles, Nintendo used the ""directional pad"" (or ""cross-key"" in Japan) for their Nintendo Entertainment System controller and it has been used on nearly every console controller since. [ 14 ]",en,wikipedia_glossary
damage over time (DoT),"An effect, such as poison or catching on fire, that reduces a player's health over the course of time or turns.",en,wikipedia_glossary
damage per minute (DPM),Used as a metric in some games to allow the player to determine their offensive power.,en,wikipedia_glossary
damage per second (DPS),"1.  Used as a metric in some games to allow the player to determine their offensive power, particularly in games where the player's attacks are performed automatically when a target is in range.",en,wikipedia_glossary
day one,"2.  A character archetype in team or party-based games, specifically a character or class that is designed purely to deal as much damage as possible to enemies, as opposed to a tank or healer, who have other primary duties. Specific characters or classes may be considered ""sub-types"" of DPS, such as a ""magic-DPS"" as opposed to a ""melee-DPS"".",en,wikipedia_glossary
day zero,"Also day zero . The day of release for a video game; often accompanied by a 'day-one patch' to repair issues that could not be addressed in time for the game's distribution, or 'day-one DLC', where the developer offers content for a price. 'Day-one DLC' is often associated with on-disc DLC , where the content is already a part of the game's data, but the player must pay to access it.",en,wikipedia_glossary
dead zone,"Also day one . Before the day of release for a video game; often accompanied by a 'day-zero dlc' to allow early play time that users paid for the game before launch, or maybe extra cosmetics. or the purchaser gets things like the 'day-one DLC' on launch day, or some in game currency , where the developer offers content bundled in for buying the game ""pre-launch"". the 'Day-one DLC' is often associated with on-disc DLC , where the content is already a part of the game's data, but the player must pay to access it.",en,wikipedia_glossary
deathmatch,1.  A region of the screen in video games in which the camera is controlled via free look where the mouse cursor can be positioned to lock the camera in place. Can be adjusted in some games. [ citation needed ],en,wikipedia_glossary
Debug mode,"2.  A deadzone setting for the analog stick that lets players configure how sensitive they want their analog sticks to be, popular in console FPS games, and in racing games where it appears as Steering Deadzone .",en,wikipedia_glossary
Degrees of freedom,Also free-for-all A game mode in many shooter and real-time strategy games in which the objective is to kill as many other characters as possible until a time limit or kill limit is reached. Compare to last man standing .,en,wikipedia_glossary
destructible environment,"1.  The opposite of a buff, an effect placed on a character that negatively impacts their statistics and characteristics. Compare with nerf .",en,wikipedia_glossary
developer,2.  Effects that nullify or cancel the effects of buffs.,en,wikipedia_glossary
development hell,A type of video game remake for (or emulating the style of) older generation hardware.,en,wikipedia_glossary
devolution,A game level in which walls and other surfaces can be damaged and destroyed. [ 15 ],en,wikipedia_glossary
dialog tree,The production company which makes a video game. [ 15 ],en,wikipedia_glossary
difficulty,"An unofficial, indefinite ""waiting period"" during which a project is effectively stalled and unable to proceed. Projects that enter development hell are often delayed by several years, but are not usually considered to be formally cancelled by the publisher.",en,wikipedia_glossary
digital rights management (DRM),"The act of running games and applications from storage media not originally supported for this use. For example, external hard disk drives or USB flash drives can be used on consoles that only officially support running games and applications from CD or DVD disks. Usually can only be done in modded game consoles.",en,wikipedia_glossary
directional pad,"Also conversation tree . Found primarily in adventure games, a means of providing a menu of dialog choices to the player when interacting with a non-player character so as to learn more from that character, influence the character's actions, and otherwise progress the game's story. The tree nature comes from typically having multiple branching levels of questions and replies that can be explored.",en,wikipedia_glossary
display mode,"The level of difficulty that a player wishes to face while playing a game. At higher difficulty levels, the player usually faces stronger NPCs, limited resources, or tighter time-limits.",en,wikipedia_glossary
dolphin,See D-pad .,en,wikipedia_glossary
Doom clone,See attract mode .,en,wikipedia_glossary
double jump,See downloadable content .,en,wikipedia_glossary
down-but-not-out (DBNO),"In free-to-play games, a user who occasionally spends real-world money on in-game items or spends a modest amount, but not enough to be considered a whale .",en,wikipedia_glossary
downloadable content (DLC),"An early term for first-person shooters , based on gameplay that mimicked that from Doom .",en,wikipedia_glossary
